ID,nombre,capacidad
1001,A1-001,35
1002,A1-002,35
1003,A1-003,35
1004,A1-004,35
1005,A1-005,35
1006,A1-006,35
1007,A1-007,35
1008,A1-008,35
1009,A1-009,35
1010,A1-010,35
1011,A1-011,35
1012,A1-012,35
1013,A1-013,35
1014,A1-014,35
1015,A1-015,35
1016,A1-016,35
1017,A1-017,35
1018,A1-018,35
2001,A2-001,35
2002,A2-002,35
2003,A2-003,35
2004,A2-004,35
2005,A2-005,35
2006,A2-006,35
2007,A2-007,35
2008,A2-008,35
2009,A2-009,35
2010,A2-010,35
2011,A2-011,35
2012,A2-012,35
2013,A2-013,35
2014,A2-014,35
2015,A2-015,35
2016,A2-016,35
2017,A2-017,35
2018,A2-018,35
1101,A1-101,35
1102,A1-102,35
1103,A1-103,35
1104,A1-104,35
1105,A1-105,35
1106,A1-106,35
1107,A1-107,35
1108,A1-108,35
1109,A1-109,35
1110,A1-110,35
1111,A1-111,35
1112,A1-112,35
1113,A1-113,35
1114,A1-114,35
1115,A1-115,35
1116,A1-116,35
1117,A1-117,35
1118,A1-118,35
1201,A1-201,35
1202,A1-202,35
1203,A1-203,35
1204,A1-204,35
1205,A1-205,35
1206,A1-206,35
1207,A1-207,35
1208,A1-208,35
1209,A1-209,35
1210,A1-210,35
1211,A1-211,35
1212,A1-212,35
1213,A1-213,35
1214,A1-214,35
1215,A1-215,35
1216,A1-216,35
1217,A1-217,35
1218,A1-218,35
1301,A1-301,35
1302,A1-302,35
1303,A1-303,35
1304,A1-304,35
1305,A1-305,35
1306,A1-306,35
1307,A1-307,35
1308,A1-308,35
1309,A1-309,35
1310,A1-310,35
1311,A1-311,35
1312,A1-312,35
1313,A1-313,35
1314,A1-314,35
1315,A1-315,35
1316,A1-316,35
1317,A1-317,35
1318,A1-318,35
2101,A2-101,35
2102,A2-102,35
2103,A2-103,35
2104,A2-104,35
2105,A2-105,35
2106,A2-106,35
2107,A2-107,35
2108,A2-108,35
2109,A2-109,35
2110,A2-110,35
2111,A2-111,35
2112,A2-112,35
2113,A2-113,35
2114,A2-114,35
2115,A2-115,35
2116,A2-116,35
2117,A2-117,35
2118,A2-118,35
2201,A2-201,35
2202,A2-202,35
2203,A2-203,35
2204,A2-204,35
2205,A2-205,35
2206,A2-206,35
2207,A2-207,35
2208,A2-208,35
2209,A2-209,35
2210,A2-210,35
2211,A2-211,35
2212,A2-212,35
2213,A2-213,35
2214,A2-214,35
2215,A2-215,35
2216,A2-216,35
2217,A2-217,35
2218,A2-218,35
2301,A2-301,35
2302,A2-302,35
2303,A2-303,35
2304,A2-304,35
2305,A2-305,35
2306,A2-306,35
2307,A2-307,35
2308,A2-308,35
2309,A2-309,35
2310,A2-310,35
2311,A2-311,35
2312,A2-312,35
2313,A2-313,35
2314,A2-314,35
2315,A2-315,35
2316,A2-316,35
2317,A2-317,35
2318,A2-318,35
10,EMG-10,35
11,EMG-11,35
12,EMG-12,35
13,EMG-13,35
14,EMG-14,35
15,EMG-15,35
16,EMG-16,35
17,EMG-17,35
18,EMG-18,35
20,EMG-20,35
21,EMG-21,35
22,EMG-22,35
23,EMG-23,35
24,EMG-24,35
25,EMG-25,35
26,EMG-26,35
27,EMG-27,35
28,EMG-28,35
29,EMG-29,35
30,EMG-30,35
31,EMG-31,35
32,EMG-32,35
33,EMG-33,35
34,EMG-34,35
35,EMG-35,35
36,EMG-36,35
37,EMG-37,35
38,EMG-38,35
